user_id,login,first_name,last_name,email,phone,password,register_date,city_id,is_test,hashedRt
,ianatol,Игорь,Анатольев,ianatol@gmail.com,+79998887701,ianatolp,2023-01-13 18:34:53.711,3,true,
,oxs2014,Оксана,Мышкова,oxs2014@gmail.com,+79998887702,oxs2014p,2022-07-08 12:43:46.711,2,true,
,atunin82,Андрей,Тунин,atunin82@gmail.com,+79998887703,atunin82p,2023-01-03 18:56:35.711,15,true,
,svetignat,Светлана,Игнатьева,svetignat@gmail.com,+79998887704,svetignatp,2022-10-20 22:07:37.711,54,true,
,misamisa,Алиса,Аминова,misamisa@mail.ru,+79998887705,misamisap,2023-01-16 13:16:15.711,36,true,
,yjabami,Yumeko,Jabami,yjabami@yandex.ru,+79998887706,yjabamip,2023-01-12 18:17:56.711,3,true,
,mrRicco,Ricco,,ricco@google.com,,mrRiccop,2023-01-07 18:52:50.711,10,true,
,grekich,Дмитрий,Греков,dgrekich@yandex.ru,+79998887708,grekichp,2021-11-20 18:22:07.711,34,true,
,petra,Марина,Петрова,petra@yandex.ru,+79998887709,petrap,2022-09-06 17:33:05.711,51,true,
,irochka,Ирина,Чкалова,irochka@mail.ru,+79998887710,irochkap,2023-01-01 18:36:22.711,22,true,
,freddy,Андрей,Фродин,freddy@mail.ru,,freddyp,2022-03-14 13:00:38.711,32,true,
,silvester,Сильвестер,Стволовый,stvol@gmail.com,+79998887712,silvesterp,2023-01-02 18:24:48.711,5,true,
,kachan,Джеки,Качан,kachan@rambler.com,+79998887713,kachanp,2023-01-22 15:26:51.711,1,true,
,zanyang,Дзан,Янг,yang@piper.com,,dzanyangp,2022-12-31 18:51:50.711,65,true,
,wendesday,Уэнсдей,,wendesday@gmail.com,+79998887715,wednesdayp,2023-01-05 18:46:44.711,43,true,
,vdud,Юрий,Дудь,vdud@mail.ru,+79998887716,vdudp,2022-06-27 09:37:16.711,14,true,
,ironman,Tony,Stark,ironman@rambler.con,+79998887717,ironmanp,2022-03-19 18:05:28.711,6,true,
,oxanagonch,Оксана,Гончiронiк,oxy@gmail.com,+79998887718,oxanagonchp,2021-12-07 07:10:45.711,56,true,
,sabur,Нурлан,Сабуров,cbd@gmail.com,+79998887719,saburp,2023-01-22 15:26:51.711,44,true,
,chuktay,Dinesh,Chuktay,chuktay@piper.com,+79998887720,chuktayp,2022-09-06 17:33:05.711,56,true,
